course_id,course_title,url,price,num_subscribers,num_reviews,num_lectures,level,Rating,content_duration,published_timestamp,subject
49798,Bitcoin or How I Learned to Stop Worrying and Love Crypto,https://www.udemy.com/bitcoin-or-how-i-learned-to-stop-worrying-and-love-crypto/,0,65576,936,24,All Levels,0.56,8,2013-04-20T02:25:22Z,Business Finance
48841,Accounting in 60 Minutes - A Brief Introduction,https://www.udemy.com/accounting-in-60-minutes-a-brief-introduction/,0,56659,4397,16,Beginner Level,0.95,1.5,2013-04-07T21:39:25Z,Business Finance
133536,Stock Market Investing for Beginners,https://www.udemy.com/the-beginners-guide-to-the-stock-market/,0,50855,2698,15,All Levels,0.91,1.5,2013-12-25T19:53:34Z,Business Finance
151668,Introduction to Financial Modeling,https://www.udemy.com/financial-modeling-asimplemodel/,0,29167,1463,8,All Levels,0.18,1.5,2014-05-27T16:22:16Z,Business Finance
648826,The Complete Financial Analyst Course 2017,https://www.udemy.com/the-complete-financial-analyst-course/,195,24481,2347,174,All Levels,0.37,10,2016-01-21T01:38:48Z,Business Finance
97338,Forex Basics,https://www.udemy.com/forex-basics/,0,22344,712,26,All Levels,0.89,3.5,2013-10-16T17:40:23Z,Business Finance
321410,Beginner to Pro in Excel: Financial Modeling and Valuation,https://www.udemy.com/beginner-to-pro-in-excel-financial-modeling-and-valuation/,195,22257,2697,138,Intermediate Level,0.13,7.5,2014-11-25T23:00:40Z,Business Finance
301442,Black Algo Trading: Build Your Trading Robot,https://www.udemy.com/build-your-trading-robot/,200,20195,1113,227,All Levels,0.21,16,2014-10-27T22:01:36Z,Business Finance
189160,Financial Analysis: A Recipe for Success,https://www.udemy.com/financial-analysis-a-recipe-for-success/,0,19614,635,14,All Levels,0.3,1.5,2014-04-23T15:10:52Z,Business Finance
191854,Stock Market Foundations,https://www.udemy.com/how-to-invest-in-the-stock-market-beginners/,0,19339,794,9,All Levels,0.89,2,2014-03-31T21:35:06Z,Business Finance
754028,Financial Accounting - A Brief Introduction,https://www.udemy.com/accounting-in-less-then-one-hour/,0,17847,1440,17,Intermediate Level,0.34,1,2016-02-24T14:53:28Z,Business Finance
265960,Fundamentals of Forex Trading,https://www.udemy.com/fundamentals-of-forex-trading/,0,17160,620,23,Beginner Level,0.69,1,2014-08-29T20:10:38Z,Business Finance
308690,Forex Trading A-Z™ - With LIVE Examples of Forex Trading,https://www.udemy.com/forex-trading/,195,16900,2476,52,Beginner Level,0.16,5.5,2014-12-12T23:58:39Z,Business Finance
285638,Learn to Trade for Profit:Trading with Japanese Candlesticks,https://www.udemy.com/introduction-to-japanese-candlesticks/,60,16385,273,45,Beginner Level,0.78,3,2014-09-02T03:53:13Z,Business Finance
401784,Options Trading Introduction: Day Trade Stock Options,https://www.udemy.com/how-to-trade-stock-options-level-1-start-day-trading/,95,12394,218,30,All Levels,0.25,2.5,2015-02-20T21:39:41Z,Business Finance
189996,Introduction to Digital Payments,https://www.udemy.com/payments/,0,12217,351,17,All Levels,0.41,1,2014-04-29T05:49:43Z,Business Finance
302562,Introduction to Accounting: The Language of Business,https://www.udemy.com/learnaccountingforfree/,20,11958,370,134,All Levels,0.81,11.5,2014-10-02T09:16:55Z,Business Finance
777444,Corporate Finance - A Brief Introduction,https://www.udemy.com/finance-a-brief-introduction-and-basics-finance-101/,0,11724,649,17,All Levels,0.81,1.5,2016-03-04T05:58:09Z,Business Finance
116128,CPA 101: How To Master Affiliate Marketing In No Time,https://www.udemy.com/cpa-marketing-101/,100,11517,92,21,All Levels,0.81,1.5,2013-11-09T21:46:52Z,Business Finance
888716,"Introduction to Finance&Accounting& Modeling and Valuation",https://www.udemy.com/introduction-to-accounting-finance-modeling-valuation-by-chris-haroun/,200,11441,1118,61,All Levels,0.81,4.5,2016-06-28T06:12:23Z,Business Finance
774174,Bitcoin For Beginners: Your Quick Start Guide To Bitcoin,https://www.udemy.com/bitcoin-podcast/,0,10670,444,15,All Levels,0.81,1,2016-03-03T21:03:33Z,Business Finance
325834,Learn to Trade for Profit: Find and Trade Winning Stocks,https://www.udemy.com/trading-stocks-successfully-introduction-to-stock-trading/,95,10605,71,77,All Levels,0.81,3,2014-10-24T18:13:49Z,Business Finance
260470,Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!,https://www.udemy.com/backtesting/,200,10603,872,42,All Levels,0.81,5.5,2014-10-12T21:19:11Z,Business Finance
205810,Beginners Binary Options Course,https://www.udemy.com/beginners-binary-options-trading-course/,0,10540,799,14,All Levels,0.81,1.5,2014-04-27T06:58:27Z,Business Finance
109622,Finance - Ratios Analysis & Interpretations,https://www.udemy.com/financial-ratios/,30,10338,52,41,Beginner Level,0.81,2.5,2013-10-23T18:34:25Z,Business Finance
506568,Create A Business From Home Trading Stocks Today In 2017,https://www.udemy.com/work-from-home-buying-penny-stocks/,75,10149,83,16,All Levels,0.81,2,2015-05-26T17:25:46Z,Business Finance
43319,Options Trading Basics (3-Course Bundle),https://www.udemy.com/learn-options-trading-courses/,180,10100,985,45,All Levels,0.81,11,2013-02-25T11:36:06Z,Business Finance
640100,Accounting & Financial Statement Analysis: Complete Training,https://www.udemy.com/accounting-fsa-a-solid-foundation-for-a-career-in-finance/,150,10042,594,43,Beginner Level,0.81,3,2015-10-22T00:03:48Z,Business Finance
114518,Improve Your Financial Literacy,https://www.udemy.com/improve-your-financial-literacy-in-less-than-three-hours/,0,9995,96,10,All Levels,0.81,2,2014-02-10T03:50:00Z,Business Finance
706942,Forex Trading For Beginners,https://www.udemy.com/forex-trading-for-beginners-q/,0,9483,183,22,All Levels,0.81,2,2016-01-14T02:46:59Z,Business Finance
165964,Stock Trading Ninja: Complete System For Trading Success,https://www.udemy.com/stock-trading-ninja-learn-how-to-make-money-trading-stocks/,155,9445,497,38,Beginner Level,0.81,4.5,2014-02-19T19:04:28Z,Business Finance
192870,Trading Penny Stocks: A Guide for All Levels In 2017,https://www.udemy.com/trading-penny-stocks-a-guide-for-all-levels/,150,9221,138,25,All Levels,0.81,3,2014-05-02T15:13:30Z,Business Finance
252396,How to Pick The Right Penny Stocks To Invest In 2017,https://www.udemy.com/how-to-make-5000month-trading-penny-stocks/,150,9015,65,23,All Levels,0.81,2.5,2014-07-01T20:04:27Z,Business Finance
418732,Hedge Fund Trading System,https://www.udemy.com/hedge-fund-trading-system/,0,8985,584,12,Expert Level,0.81,1,2015-03-06T01:11:18Z,Business Finance
380970,The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,https://www.udemy.com/bitcoin-for-beginners/,45,8797,449,80,All Levels,0.81,6.5,2015-01-09T03:55:15Z,Business Finance
965832,The Complete Investment Banking Course 2017,https://www.udemy.com/the-complete-investment-banking-course-2016/,195,8575,809,110,Intermediate Level,0.81,5.5,2016-10-10T16:16:26Z,Business Finance
358326,Dividend Investing: Build Your Portfolio for a Better Future,https://www.udemy.com/dividend-investing/,60,8314,83,47,Beginner Level,0.81,4,2015-01-24T06:31:19Z,Business Finance
614472,The Advanced Forex Course for Smart Traders,https://www.udemy.com/advanced-forex-course/,0,8236,144,25,All Levels,0.81,5,2015-10-09T16:46:49Z,Business Finance
985922,Excel Crash Course: Master Excel for Financial Analysis,https://www.udemy.com/excel-crash-course-master-excel-for-financial-analysis/,105,8121,689,40,Beginner Level,0.29,3.5,2016-10-18T00:51:59Z,Business Finance
